,headline,pub_date,byline,score
0,"Trump, Brenda Fitzgerald, Virginia: Your Wednesday Evening Briefing",2018-01-31T22:57:59+0000,"{'original': 'By KAREN ZRAICK and DAVID SCULL', 'person': [{'firstname': 'Karen', 'middlename': None, 'lastname': 'ZRAICK', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'David', 'middlename': None, 'lastname': 'SCULL', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}], 'organization': None}",0.10885632
1,Syria's Kurds Push US to Stop Turkish Assault on Key Enclave,2018-01-31T22:24:34+0000,"{'original': 'By THE ASSOCIATED PRESS', 'person': [], 'organization': 'THE ASSOCIATED PRESS'}",0.13910355
2,Trump Asked No. 2 Justice Department Official Where Russia Probe Was Heading: CNN,2018-01-31T21:18:38+0000,"{'original': 'By REUTERS', 'person': [], 'organization': 'REUTERS'}",1.1794378
3,House Republican Nunes Calls FBI Objections to Memo 'Spurious',2018-01-31T20:33:42+0000,"{'original': 'By REUTERS', 'person': [], 'organization': 'REUTERS'}",0.34922355
4,Trump’s Debt to Reagan,2018-01-31T19:46:01+0000,"{'original': 'By CHARLES R. KESLER', 'person': [{'firstname': 'Charles', 'middlename': 'R.', 'lastname': 'KESLER', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",0.24041903
5,Right and Left React to Trump’s State of the Union Address,2018-01-31T19:36:48+0000,"{'original': 'By ANNA DUBENKO', 'person': [{'firstname': 'Anna', 'middlename': None, 'lastname': 'DUBENKO', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",0.19757682
6,Geoff Cameron’s Car-Pool Confessional,2018-01-31T19:09:20+0000,"{'original': 'By MARC STEIN', 'person': [{'firstname': 'Marc', 'middlename': None, 'lastname': 'STEIN', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",0.07729989
7,F.B.I. Condemns Push to Release Secret Republican Memo,2018-01-31T18:12:53+0000,"{'original': 'By ADAM GOLDMAN and NICHOLAS FANDOS', 'person': [{'firstname': 'Adam', 'middlename': None, 'lastname': 'GOLDMAN', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Nicholas', 'middlename': None, 'lastname': 'FANDOS', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}], 'organization': None}",0.19954076
8,GOP Congressman Who Led the Benghazi Probe Will Leave House,2018-01-31T17:48:33+0000,"{'original': 'By THE ASSOCIATED PRESS', 'person': [], 'organization': 'THE ASSOCIATED PRESS'}",0.22039069
9,From ‘New American Moment’ to Same Partisan Rancor,2018-01-31T17:41:06+0000,"{'original': 'By CARL HULSE', 'person': [{'firstname': 'Carl', 'middlename': None, 'lastname': 'HULSE', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",0.24642736
